"","ResponseId","Passage","jols"
"462","R_OdSaGcSBQNuud3z","Sans Forgetica",77
"463","R_OIq93cMlJAGaJ4B","Pre-highlighted",86
"464","R_p5xuubNUXqbbMIx","Pre-highlighted",70
"465","R_pfmJrNEjp11xzSp","Sans Forgetica",0
"466","R_pGWnYCWSkVNHI8F","Unmodified",64
"467","R_PHgaZSnYtbigAX7","Pre-highlighted",45
"468","R_pRbasyrv8BfWmkN","Sans Forgetica",60
"469","R_PZMW8CGO4O8DbSp","Unmodified",9
"470","R_Q5Iq0yeVaGdX2rn","Unmodified",72
"471","R_Q5r6JSmVTQRRhUB","Pre-highlighted",48
"472","R_QazEg8YJXgs3bKF","Unmodified",85
"473","R_qEfhQoDUiLkIczT","Sans Forgetica",77
"474","R_QmnXTjfry8ikU49","Unmodified",75
"475","R_QnxTZ2TFX7FSJH3","Pre-highlighted",77
"476","R_R53w7jYMTzrko6t","Sans Forgetica",70
"477","R_R7Snz9ZbzSLBRpT","Pre-highlighted",0
"478","R_rcCfFlyrZFocDJv","Sans Forgetica",24
"479","R_Reom65nGgbP4W3f","Unmodified",72
"480","R_RKucqPSMyShkXGp","Sans Forgetica",50
"481","R_rooWU8yY4DaNJPr","Unmodified",60
"482","R_s4PmBNH0VlQDRZv","Pre-highlighted",90
"483","R_SGF18rkSm6hhiQV","Pre-highlighted",71
"484","R_sMv2s95DAQxhFxT","Sans Forgetica",76
"485","R_stLdOexYQT1rFmh","Sans Forgetica",80
"486","R_sUpng1kHbGEAfjH","Pre-highlighted",80
"487","R_T8bpwk73iLlt8rL","Unmodified",65
"488","R_Tejq5zkmWmmaNjP","Pre-highlighted",20
"489","R_ToQr4ENBEsDQ9ih","Pre-highlighted",70
"490","R_TqqpE9AdjvGvZGV","Sans Forgetica",70
"491","R_Tw3fPT2OmHFtw8F","Unmodified",79
"492","R_Twrz7ssvwffiysh","Unmodified",45
"493","R_u1yEAtZT3MZqXSx","Pre-highlighted",40
"494","R_u3Mzx9DoKnHKdSV","Sans Forgetica",70
"495","R_UDwVuvMiZ31tvEJ","Sans Forgetica",65
"496","R_UEZgbbqf0pOexAl","Pre-highlighted",70
"497","R_UhaWGzuuBXEfMYN","Sans Forgetica",100
"498","R_UrmJwU5oa57Lygx","Pre-highlighted",70
"499","R_UXU548n56wzFbGx","Unmodified",65
"500","R_V3BfkJzOfGwbA2J","Sans Forgetica",20
"501","R_vBJQnHHYaPWOE6t","Unmodified",80
"502","R_vc6o5CfJDlzlyI9","Unmodified",0
"503","R_vdxNIxt8egXKBRT","Pre-highlighted",50
"504","R_VKcqe4sddCbDjzz","Sans Forgetica",75
"505","R_vkKnSDlrkNXSRG1","Pre-highlighted",95
"506","R_VRo1CyYQWxc8qcN","Sans Forgetica",30
"507","R_vTtlNv3L910YwO5","Pre-highlighted",60
"508","R_vZGnEySlguFuijv","Sans Forgetica",50
"509","R_W21US4FUsuZLgY1","Sans Forgetica",10
"510","R_WlpD2eRTsGtCUaR","Sans Forgetica",70
"511","R_wTM8dqidzfqfaMh","Unmodified",37
"512","R_xD96ne3Fh1D5nl7","Unmodified",94
"513","R_xFAAQFAfnu7f7MJ","Pre-highlighted",20
"514","R_xgOCVuP0CYKLUBz","Unmodified",90
"515","R_XHsvcGHN56hk2Rj","Sans Forgetica",40
"516","R_XI1CQHe54LzugSJ","Pre-highlighted",44
"517","R_XTdFXYg7v3FXr9L","Sans Forgetica",80
"518","R_yEcP0W4YxMurCiB","Unmodified",54
"519","R_yJ95VEeGuChlzzP","Pre-highlighted",66
"520","R_YRBNgAMdzqmBCPT","Sans Forgetica",70
"521","R_YS4ZV7Vuhi2sp7b","Sans Forgetica",23
"522","R_ysin8WXoCm5zwNb","Sans Forgetica",90
"523","R_YXD3wVBaeeMGniV","Unmodified",70
"524","R_YXsT79eefQoDHSp","Sans Forgetica",35
"525","R_zezvmYgXW2OujcZ","Sans Forgetica",35
"526","R_ZgT9FoBvnPGqlm9","Pre-highlighted",0
"527","R_ZrsKRJKVsi11cop","Unmodified",85
"528","R_ZsnZqTp0TXukQsF","Sans Forgetica",81
